game_id,away_team_id,home_team_id,away_team_rest,home_team_rest
21800225,Philadelphia,Charlotte,3IN4-B2B,3+
21800226,Atlanta,Indiana,1,B2B
21800227,LA Lakers,Orlando,2,2
21800228,Denver,New Orleans,1,3IN4-B2B
21800229,Utah,Boston,3IN4-B2B,3IN4-B2B
21800230,Toronto,Chicago,3IN4-B2B,3IN4-B2B
21800231,Sacramento,Houston,B2B,1
21800232,Golden State,Dallas,1,2
21800233,Oklahoma City,Phoenix,2,2
21800234,Memphis,Minnesota,1,1
21800235,LA Lakers,Miami,B2B,1
21800236,New York,Orlando,1,B2B
21800237,Portland,Washington,1,1
21800238,Golden State,San Antonio,3IN4-B2B,2
21800239,Boston,Charlotte,3IN4,1
21800240,Cleveland,Detroit,3+,3+
21800241,Utah,Indiana,3IN4,3IN4
21800242,Phoenix,Philadelphia,1,3IN4
21800243,LA Clippers,Atlanta,1,1
21800244,Dallas,Memphis,1,3IN4-B2B
21800245,Denver,Milwaukee,1,2
21800246,San Antonio,New Orleans,B2B,3IN4
21800247,Oklahoma City,Sacramento,1,3IN4
21800248,Toronto,Orlando,2,3IN4
21800249,LA Clippers,Washington,3IN4-B2B,1
21800250,Brooklyn,Miami,2,1
21800251,Portland,New York,1,1
21800252,Indiana,Charlotte,1,1
21800253,New Orleans,Philadelphia,1,1
21800254,Toronto,Atlanta,B2B,1
21800255,New York,Boston,3IN4-B2B,1
21800256,LA Lakers,Cleveland,2,1
21800257,Phoenix,Chicago,1,3+
21800258,Detroit,Houston,1,3+
21800259,Portland,Milwaukee,3IN4-B2B,1
21800260,Denver,Minnesota,1,2
21800261,Brooklyn,Dallas,B2B,1
21800262,Memphis,San Antonio,3IN4,3IN4
21800263,Sacramento,Utah,1,1
21800264,Oklahoma City,Golden State,1,2
21800265,Minnesota,Brooklyn,1,3IN4
21800266,Memphis,LA Clippers,1,2
21800267,Houston,Detroit,1,1
21800268,Boston,Atlanta,1,1
21800269,New Orleans,New York,1,3IN4
21800270,Cleveland,Philadelphia,1,1
21800271,Washington,Toronto,2,3IN4
21800272,San Antonio,Indiana,1,1
21800273,Miami,Chicago,2,1
21800274,Charlotte,Oklahoma City,1,1
21800275,Phoenix,Milwaukee,1,1
21800276,Orlando,Denver,2,1
21800277,Portland,Golden State,3IN4,1
21800278,Utah,LA Lakers,1,1
21800279,Houston,Cleveland,3IN4-B2B,3IN4-B2B
21800280,New Orleans,Washington,3IN4-B2B,B2B
21800281,Chicago,Minnesota,3IN4-B2B,3IN4-B2B
21800282,Denver,Oklahoma City,3IN4-B2B,3IN4-B2B
21800283,Boston,Dallas,3IN4-B2B,2
21800284,San Antonio,Milwaukee,3IN4-B2B,3IN4-B2B
21800285,Sacramento,Golden State,2,3IN4-B2B
21800286,Orlando,LA Lakers,1,1
21800287,Phoenix,Detroit,1,1
21800288,Charlotte,Atlanta,1,1
21800289,Philadelphia,Brooklyn,1,1
21800290,Miami,Toronto,1,1
21800291,New York,Memphis,1,1
21800292,Utah,Sacramento,1,B2B
21800293,LA Clippers,Portland,1,1
21800294,Milwaukee,Charlotte,3IN4,3IN4-B2B
21800295,Minnesota,Cleveland,3IN4,3IN4
21800296,Houston,Washington,3IN4,3IN4
21800297,San Antonio,Chicago,3IN4,3IN4
21800298,Boston,New Orleans,3IN4,3IN4
21800299,Indiana,Utah,2,3IN4-B2B
21800300,Orlando,Golden State,3IN4-B2B,3IN4
21800301,New York,Detroit,1,1
21800302,Atlanta,Miami,1,1
21800303,Toronto,Memphis,1,1
21800304,LA Lakers,Denver,1,2
21800305,Indiana,Phoenix,B2B,1
21800306,Atlanta,Charlotte,3IN4-B2B,3IN4
21800307,New York,Philadelphia,3IN4-B2B,2
21800308,Utah,Brooklyn,3IN4,2
21800309,Dallas,Houston,3+,1
21800310,Chicago,Milwaukee,1,1
21800311,San Antonio,Minnesota,1,1
21800312,Washington,New Orleans,1,1
21800313,Cleveland,Oklahoma City,1,3+
21800314,Orlando,Portland,3IN4,2
21800315,Phoenix,LA Clippers,3IN4-B2B,2
21800316,Golden State,Toronto,2,1
21800317,Indiana,LA Lakers,3IN4,1
21800318,LA Clippers,Sacramento,B2B,3+
21800319,Cleveland,Boston,1,3+
21800320,Utah,Charlotte,1,1
21800321,Chicago,Detroit,1,2
21800322,Washington,Philadelphia,1,1
21800323,Memphis,Brooklyn,2,1
21800324,New Orleans,Miami,1,2
