DATASET,GAME ID,DATE,TIME,ROAD TEAM,HOME TEAM,TOTAL GAME MINUTES,ROAD TEAM FINAL SCORE,HOME TEAM FINAL SCORE,ROAD TEAM REST,HOME TEAM REST,BOX SCORE URL
NBA 2018-2019 Regular Season,0021800078,10/27/18,7:30 PM,Charlotte,Philadelphia,240,103,105,3IN4-B2B,2,Box Score
NBA 2018-2019 Regular Season,0021800079,10/27/18,8:00 PM,Portland,Miami,240,111,120,1,2,Box Score
NBA 2018-2019 Regular Season,0021800080,10/27/18,8:00 PM,Phoenix,Memphis,240,96,117,2,2,Box Score
NBA 2018-2019 Regular Season,0021800081,10/27/18,8:30 PM,Orlando,Milwaukee,240,91,113,1,3IN4-B2B,Box Score
NBA 2018-2019 Regular Season,0021800082,10/27/18,8:30 PM,LA Lakers,San Antonio,240,106,110,3IN4,2,Box Score
NBA 2018-2019 Regular Season,0021800083,10/28/18,5:00 PM,Golden State,Brooklyn,240,120,114,1,1,Box Score
NBA 2018-2019 Regular Season,0021800084,10/28/18,7:00 PM,Utah,Dallas,240,113,104,B2B,1,Box Score
NBA 2018-2019 Regular Season,0021800085,10/28/18,7:00 PM,Phoenix,Oklahoma City,240,110,117,B2B,2,Box Score
NBA 2018-2019 Regular Season,0021800086,10/28/18,9:30 PM,Washington,LA Clippers,240,104,136,1,1,Box Score
NBA 2018-2019 Regular Season,0021800087,10/29/18,7:00 PM,Portland,Indiana,240,103,93,1,1,Box Score
NBA 2018-2019 Regular Season,0021800088,10/29/18,7:00 PM,Atlanta,Philadelphia,240,92,113,1,1,Box Score
NBA 2018-2019 Regular Season,0021800089,10/29/18,7:30 PM,Sacramento,Miami,240,123,113,2,1,Box Score
NBA 2018-2019 Regular Season,0021800090,10/29/18,7:30 PM,Brooklyn,New York,240,96,115,3IN4-B2B,2,Box Score
NBA 2018-2019 Regular Season,0021800091,10/29/18,8:00 PM,Golden State,Chicago,240,149,124,3IN4-B2B,3IN4,Box Score
